Time (Mars Years), Time (Ls), Tsurf 1 bar 30km, Tsurf 1 bar 50km, Tsurf 1 bar 100km
          [Years],     [deg],              [K],              [K],               [K]
        0.5310        180.88        294.129        301.912        330.408
        0.5325        181.41        294.031        301.921        330.415
        0.5340        181.95        294.030        301.879        330.435
        0.5354        182.49        293.940        301.844        330.468
        0.5369        183.03        293.817        301.798        330.439
        0.5384        183.57        293.752        301.767        330.372
        0.5399        184.11        293.676        301.713        330.245
        0.5414        184.64        293.645        301.642        330.140
        0.5429        185.18        293.632        301.534        330.092
        0.5444        185.72        293.632        301.542        329.963
        0.5459        186.26        293.646        301.494        329.835
        0.5474        186.80        293.615        301.472        329.780
        0.5489        187.34        293.558        301.341        329.772
        0.5504        187.87        293.421        301.283        329.749
        0.5519        188.41        293.274        301.251        329.587
        0.5534        188.95        293.202        301.192        329.518
        0.5549        189.49        293.183        301.191        329.624
        0.5564        190.03        293.111        301.156        329.715
        0.5579        190.57        292.986        301.143        329.725
        0.5594        191.11        292.865        301.132        329.746
        0.5609        191.64        292.773        301.065        329.672
        0.5624        192.18        292.673        301.014        329.647
        0.5639        192.72        292.580        300.979        329.554
        0.5654        193.26        292.538        300.890        329.537
        0.5669        193.80        292.495        300.799        329.558
        0.5684        194.34        292.451        300.673        329.476
        0.5698        194.87        292.439        300.491        329.359
        0.5713        195.41        292.421        300.423        329.435
        0.5728        195.95        292.401        300.423        329.544
        0.5743        196.49        292.354        300.416        329.544
        0.5758        197.03        292.284        300.427        329.568
        0.5773        197.57        292.163        300.410        329.505
        0.5788        198.11        292.105        300.409        329.436
        0.5803        198.64        292.041        300.414        329.404
        0.5818        199.18        292.016        300.252        329.420
        0.5833        199.72        291.951        300.078        329.373
        0.5848        200.26        291.892        299.941        329.181
        0.5863        200.80        291.798        299.817        328.970
        0.5878        201.34        291.700        299.730        328.894
        0.5893        201.87        291.632        299.639        328.913
        0.5908        202.41        291.577        299.611        328.924
        0.5923        202.95        291.505        299.545        328.893
        0.5938        203.49        291.460        299.494        328.781
        0.5953        204.03        291.398        299.503        328.746
        0.5968        204.57        291.368        299.434        328.803
        0.5983        205.10        291.312        299.334        328.747
        0.5998        205.64        291.244        299.239        328.704
        0.6013        206.18        291.159        299.154        328.659
        0.6028        206.72        291.130        299.095        328.469
        0.6042        207.26        291.029        299.081        328.371
        0.6057        207.80        290.885        299.085        328.413
        0.6072        208.34        290.830        299.001        328.368
        0.6087        208.87        290.782        298.914        328.382
        0.6102        209.41        290.750        298.891        328.340
        0.6117        209.95        290.744        298.841        328.284
        0.6132        210.49        290.717        298.827        328.319
        0.6147        211.03        290.640        298.796        328.210
        0.6162        211.57        290.526        298.673        328.169
        0.6177        212.10        290.391        298.570        328.199
        0.6192        212.64        290.356        298.588        328.158
        0.6207        213.18        290.277        298.519        327.996
        0.6222        213.72        290.282        298.448        327.919
        0.6237        214.26        290.283        298.317        327.992
        0.6252        214.80        290.223        298.254        327.953
        0.6267        215.34        290.195        298.204        328.032
        0.6282        215.87        290.095        298.133        328.039
        0.6297        216.41        289.989        298.061        327.950
        0.6312        216.95        289.907        297.954        327.948
        0.6327        217.49        289.863        297.901        327.871
        0.6342        218.03        289.807        297.807        327.783
        0.6357        218.57        289.711        297.784        327.706
        0.6372        219.10        289.639        297.701        327.630
        0.6386        219.64        289.548        297.568        327.614
        0.6401        220.18        289.460        297.419        327.638
        0.6416        220.72        289.440        297.369        327.602
        0.6431        221.26        289.341        297.339        327.572
        0.6446        221.80        289.354        297.205        327.540
        0.6461        222.34        289.378        296.954        327.421
        0.6476        222.87        289.372        296.736        327.321
        0.6491        223.41        289.353        296.644        327.287
        0.6506        223.95        289.315        296.613        327.295
        0.6521        224.49        289.275        296.590        327.241
        0.6536        225.03        289.238        296.536        327.238
        0.6551        225.57        289.183        296.482        327.274
        0.6566        226.10        289.135        296.483        327.314
        0.6581        226.64        289.062        296.455        327.380
        0.6596        227.18        289.005        296.397        327.291
        0.6611        227.72        288.902        296.298        327.271
        0.6626        228.26        288.870        296.219        327.268
        0.6641        228.80        288.802        296.150        327.205
        0.6656        229.33        288.754        296.166        327.129
        0.6671        229.87        288.731        296.116        327.101
        0.6686        230.41        288.688        296.073        327.033
        0.6701        230.95        288.676        296.050        326.975
        0.6716        231.49        288.645        296.010        326.950
        0.6731        232.03        288.545        295.968        327.002
        0.6745        232.57        288.465        295.841        326.882
        0.6760        233.10        288.399        295.707        326.815
        0.6775        233.64        288.341        295.559        326.652
        0.6790        234.18        288.299        295.463        326.585
        0.6805        234.72        288.219        295.304        326.576
        0.6820        235.26        288.141        295.187        326.526
        0.6835        235.80        288.092        295.099        326.477
        0.6850        236.33        288.028        294.993        326.417
        0.6865        236.87        287.872        294.841        326.275
        0.6880        237.41        287.767        294.786        326.243
        0.6895        237.95        287.749        294.699        326.290
        0.6910        238.49        287.721        294.577        326.480
        0.6925        239.03        287.696        294.516        326.534
        0.6940        239.57        287.602        294.412        326.418
        0.6955        240.10        287.533        294.296        326.302
        0.6970        240.64        287.511        294.276        326.143
        0.6985        241.18        287.477        294.307        326.144
        0.7000        241.72        287.437        294.244        326.153
        0.7015        242.26        287.383        294.112        326.199
        0.7030        242.80        287.330        294.060        326.114
        0.7045        243.33        287.281        293.986        326.065
        0.7060        243.87        287.241        293.914        325.982
        0.7075        244.41        287.178        293.809        325.874
        0.7089        244.95        287.124        293.719        325.808
        0.7104        245.49        287.056        293.662        325.901
        0.7119        246.03        287.018        293.587        325.985
        0.7134        246.56        286.963        293.478        325.986
        0.7149        247.10        286.858        293.463        326.004
        0.7164        247.64        286.752        293.382        326.028
        0.7179        248.18        286.691        293.274        326.068
        0.7194        248.72        286.630        293.206        326.119
