Time (Mars Years), Time (Ls), Tsurf 500 mb 30km, Tsurf 500 mb 50km, Tsurf 500 mb 100km
          [Years],     [deg],               [K],               [K],                [K]
        0.3874        129.18        267.299        281.795        321.567
        0.3889        129.72        267.302        281.718        321.498
        0.3904        130.26        267.217        281.589        321.430
        0.3919        130.80        267.112        281.446        321.331
        0.3934        131.34        266.940        281.375        321.320
        0.3949        131.88        266.795        281.343        321.342
        0.3964        132.42        266.584        281.224        321.295
        0.3978        132.95        266.418        281.053        321.276
        0.3993        133.49        266.331        280.819        321.266
        0.4008        134.03        266.253        280.536        321.069
        0.4023        134.57        266.171        280.349        321.082
        0.4038        135.11        265.978        280.230        321.101
        0.4053        135.65        265.970        280.156        321.011
        0.4068        136.18        265.792        280.070        321.053
        0.4083        136.72        265.540        279.998        321.042
        0.4098        137.26        265.412        279.855        320.968
        0.4113        137.80        265.545        279.748        320.899
        0.4128        138.34        265.544        279.547        320.918
        0.4143        138.88        265.255        279.433        320.810
        0.4158        139.42        265.000        279.261        320.670
        0.4173        139.95        265.059        279.053        320.622
        0.4188        140.49        264.910        278.899        320.594
        0.4203        141.03        264.680        278.785        320.573
        0.4218        141.57        264.630        278.742        320.442
        0.4233        142.11        264.262        278.716        320.474
        0.4248        142.65        263.867        278.525        320.534
        0.4263        143.18        263.690        278.223        320.488
        0.4278        143.72        263.464        277.986        320.490
        0.4293        144.26        263.254        277.999        320.481
        0.4308        144.80        263.448        277.943        320.379
        0.4322        145.34        263.528        277.721        320.262
        0.4337        145.88        263.631        277.427        320.230
        0.4352        146.42        263.721        277.217        320.194
        0.4367        146.95        263.757        277.218        320.170
        0.4382        147.49        263.637        277.274        320.112
        0.4397        148.03        263.485        277.140        320.132
        0.4412        148.57        263.354        276.914        320.055
        0.4427        149.11        263.184        276.704        320.021
        0.4442        149.65        263.047        276.717        319.990
        0.4457        150.18        262.934        276.615        319.913
        0.4472        150.72        262.853        276.543        319.887
        0.4487        151.26        262.772        276.455        319.882
        0.4502        151.80        262.633        276.288        319.864
        0.4517        152.34        262.573        276.063        319.801
        0.4532        152.88        262.346        275.946        319.684
        0.4547        153.41        262.112        275.805        319.654
        0.4562        153.95        262.017        275.573        319.609
        0.4577        154.49        261.959        275.331        319.535
        0.4592        155.03        261.876        275.265        319.511
        0.4607        155.57        261.675        275.266        319.391
        0.4622        156.11        261.472        275.158        319.292
        0.4637        156.65        261.490        275.065        319.262
        0.4652        157.18        261.513        274.887        319.151
        0.4666        157.72        261.538        274.570        319.124
        0.4681        158.26        261.531        274.457        319.088
        0.4696        158.80        261.389        274.432        319.015
        0.4711        159.34        261.298        274.409        319.018
        0.4726        159.88        261.430        274.377        318.988
        0.4741        160.41        261.390        274.267        318.887
        0.4756        160.95        261.176        274.204        318.777
        0.4771        161.49        260.817        274.209        318.653
        0.4786        162.03        260.618        274.136        318.675
        0.4801        162.57        260.566        274.057        318.561
